Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
154518,Sulfur hydride,Valid,Hydrogen sulfide (H2S),Hydrogen sulfide,7783-06-4,,,H2S,Active
154518,Hydrogen sulfide,Valid,Hydrogen sulfide (H2S),Hydrogen sulfide,7783-06-4,,,H2S,Active
154518,Hydrosulfuric acid,Valid,Hydrogen sulfide (H2S),Hydrogen sulfide,7783-06-4,,,H2S,Active
153932,Calcium hypochlorite,Valid,"Hypochlorous acid, calcium salt (2:1)",Calcium hypochlorite,7778-54-3,,,Ca.2ClHO,Active
152512,Bleach,Ambiguous,"Hypochlorous acid, sodium salt (1:1)",Sodium hypochlorite,7681-52-9,,,ClHO.Na,Active
152512,Sodium hypochlorite,Valid,"Hypochlorous acid, sodium salt (1:1)",Sodium hypochlorite,7681-52-9,,,ClHO.Na,Active
166322,Sodium hypochlorite,Valid,"Hypochlorous acid, sodium salt, pentahydrate",Sodium hypochlorite pentahydrate,10022-70-5,,,ClHO.5H2O.Na,Active
153502,Ferrous chloride,Valid,Iron chloride (FeCl2),Ferrous chloride,7758-94-3,,,Cl2Fe,Active
153502,Iron chloride,Ambiguous,Iron chloride (FeCl2),Ferrous chloride,7758-94-3,,,Cl2Fe,Active
153502,Iron dichloride,Valid,Iron chloride (FeCl2),Ferrous chloride,7758-94-3,,,Cl2Fe,Active
153502,Iron protochloride,Valid,Iron chloride (FeCl2),Ferrous chloride,7758-94-3,,,Cl2Fe,Active
152793,Iron trichloride,Valid,Iron chloride (FeCl3),Ferric chloride,7705-08-0,,,Cl3Fe,Active
152793,Ferric chloride,Valid,Iron chloride (FeCl3),Ferric chloride,7705-08-0,,,Cl3Fe,Active
152793,Flores martis,Valid,Iron chloride (FeCl3),Ferric chloride,7705-08-0,,,Cl3Fe,Active
154682,Ferric fluoride,Valid,Iron fluoride (FeF3),Ferric fluoride,7783-50-8,,,F3Fe,Active
35790,SR-406,Trade Name,"1H-Isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-2-[(trichloromethyl)thio]-",Captan,133-06-2,,,C9H8Cl3NO2S,Active
35790,Vancide-89,Trade Name,"1H-Isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-2-[(trichloromethyl)thio]-",Captan,133-06-2,,,C9H8Cl3NO2S,Active
35790,Captan,Valid,"1H-Isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-2-[(trichloromethyl)thio]-",Captan,133-06-2,,,C9H8Cl3NO2S,Active
35790,Orthocide-406,Trade Name,"1H-Isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-2-[(trichloromethyl)thio]-",Captan,133-06-2,,,C9H8Cl3NO2S,Active
153510,Lead chloride,Valid,Lead chloride (PbCl2),Lead(II) chloride,7758-95-4,,,Cl2Pb,Active
154641,Lead fluoride,Valid,Lead fluoride (PbF2),Lead(II) fluoride,7783-46-2,,,F2Pb,Active
154641,Lead difluoride,Valid,Lead fluoride (PbF2),Lead(II) fluoride,7783-46-2,,,F2Pb,Active
154641,Plumbous fluoride,Valid,Lead fluoride (PbF2),Lead(II) fluoride,7783-46-2,,,F2Pb,Active
167783,Lead iodide,Valid,Lead iodide (PbI2),Lead(II) iodide,10101-63-0,,,I2Pb,Active
83162,Galena,Valid,Lead sulfide (PbS),Lead(II) sulfide,1314-87-0,,,PbS,Active
83162,Lead sulfide,Valid,Lead sulfide (PbS),Lead(II) sulfide,1314-87-0,,,PbS,Active
306332,Lead stearate,Valid,"Lead, bis(octadecanoato)dioxodi-","Lead, bis(octadecanoato)dioxodi-",56189-09-4,,,C36H70O6Pb2,Active
57075,Mercury cyanide,Valid,Mercury cyanide (Hg(CN)2),Mercuric cyanide,592-04-1,,,C2HgN2,Active
57075,Mercuric cyanide,Valid,Mercury cyanide (Hg(CN)2),Mercuric cyanide,592-04-1,,,C2HgN2,Active
5132,Aminomethane,Valid,Methanamine,Methylamine,74-89-5,,,CH5N,Active
5132,Methylamine,Valid,Methanamine,Methylamine,74-89-5,,,CH5N,Active
5132,Monomethylamine,Valid,Methanamine,Methylamine,74-89-5,,,CH5N,Active
5629,TMA,Valid,"Methanamine, N,N-dimethyl-",Trimethylamine,75-50-3,,,C3H9N,Active
5629,Trimethylamine,Valid,"Methanamine, N,N-dimethyl-",Trimethylamine,75-50-3,,,C3H9N,Active
33555,Dimethylamine,Valid,"Methanamine, N-methyl-",Dimethylamine,124-40-3,,,C2H7N,Active
2071,Perchloromethane,Valid,"Methane, tetrachloro-",Carbon tetrachloride,56-23-5,,,CCl4,Active
2071,Carbon tetrachloride,Valid,"Methane, tetrachloro-",Carbon tetrachloride,56-23-5,,,CCl4,Active
2071,Tetrachloromethane,Valid,"Methane, tetrachloro-",Carbon tetrachloride,56-23-5,,,CCl4,Active
4317,Trichloromethane,Valid,"Methane, trichloro-",Chloroform,67-66-3,,,CHCl3,Active
4317,Chloroform,Valid,"Methane, trichloro-",Chloroform,67-66-3,,,CHCl3,Active
5157,Thiomethyl alcohol,Valid,Methanethiol,Methyl mercaptan,74-93-1,,,CH4S,Active
5157,Methyl mercaptan,Valid,Methanethiol,Methyl mercaptan,74-93-1,,,CH4S,Active
5157,Mercaptomethane,Valid,Methanethiol,Methyl mercaptan,74-93-1,,,CH4S,Active
5157,Methanethiol,Valid,Methanethiol,Methyl mercaptan,74-93-1,,,CH4S,Active
5157,Methyl sulfhydrate,Valid,Methanethiol,Methyl mercaptan,74-93-1,,,CH4S,Active
2683,Toxichlor,Trade Name,"4,7-Methano-1H-indene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-",Chlordane,57-74-9,,,C10H6Cl8,Active
2683,Chlordane,Valid,"4,7-Methano-1H-indene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-",Chlordane,57-74-9,,,C10H6Cl8,Active
2683,Chlordan,Trade Name,"4,7-Methano-1H-indene, 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-",Chlordane,57-74-9,,,C10H6Cl8,Active
6262,Velsicol-104,Trade Name,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",Heptachlor,76-44-8,,,C10H5Cl7,Active
6262,Heptagran,Trade Name,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",Heptachlor,76-44-8,,,C10H5Cl7,Active
6262,Heptachlor,Valid,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",Heptachlor,76-44-8,,,C10H5Cl7,Active
6262,Drinox,Trade Name,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",Heptachlor,76-44-8,,,C10H5Cl7,Active
29132,Endosulfan,Valid,"6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide",Endosulfan,115-29-7,,,C9H6Cl6O3S,Active
29132,Thiodan,Trade Name,"6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide",Endosulfan,115-29-7,,,C9H6Cl6O3S,Active
33563,Sodium methylate,Valid,"Methanol, sodium salt (1:1)",Sodium methoxide,124-41-4,,,CH4O.Na,Active
33563,Sodium methoxide,Valid,"Methanol, sodium salt (1:1)",Sodium methoxide,124-41-4,,,CH4O.Na,Active
39313,"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-1,3,4-metheno-2H-cyclobuta(cd)pentalen-2-one",Valid,"1,3,4-Metheno-2H-cyclobuta[cd]pentalen-2-one, 1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-",Chlordecone,143-50-0,,,C10Cl10O,Active
39313,Kepone,Trade Name,"1,3,4-Metheno-2H-cyclobuta[cd]pentalen-2-one, 1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-",Chlordecone,143-50-0,,,C10Cl10O,Active
39313,Chlordecone,Valid,"1,3,4-Metheno-2H-cyclobuta[cd]pentalen-2-one, 1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-",Chlordecone,143-50-0,,,C10Cl10O,Active
13326,White tar,Valid,Naphthalene,Naphthalene,91-20-3,,,C10H8,Active
13326,Tar camphor,Valid,Naphthalene,Naphthalene,91-20-3,,,C10H8,Active
13326,Naphthalene,Valid,Naphthalene,Naphthalene,91-20-3,,,C10H8,Active
13326,Naphthalin,Valid,Naphthalene,Naphthalene,91-20-3,,,C10H8,Active
29926,Dichloronaphthoquinone,Valid,"1,4-Naphthalenedione, 2,3-dichloro-",Dichlone,117-80-6,,,C10H4Cl2O2,Active
29926,Dichlone,Valid,"1,4-Naphthalenedione, 2,3-dichloro-",Dichlone,117-80-6,,,C10H4Cl2O2,Active
29926,Phygon,Valid,"1,4-Naphthalenedione, 2,3-dichloro-",Dichlone,117-80-6,,,C10H4Cl2O2,Active
3723,Sevin,Trade Name,"1-Naphthalenol, 1-(N-methylcarbamate)",Carbaryl,63-25-2,,,C12H11NO2,Active
3723,Carbaryl,Valid,"1-Naphthalenol, 1-(N-methylcarbamate)",Carbaryl,63-25-2,,,C12H11NO2,Active
85977,Naphthenic acid,Valid,Naphthenic acids,Naphthenic acids,1338-24-5,,,Unspecified,Active
152868,Nickelous chloride,Valid,Nickel chloride (NiCl2),Nickel(II) chloride,7718-54-9,,,Cl2Ni,Active
152868,Nickel chloride,Ambiguous,Nickel chloride (NiCl2),Nickel(II) chloride,7718-54-9,,,Cl2Ni,Active
178129,Nickel hydroxide,Valid,Nickel hydroxide (Ni(OH)2),Nickel hydroxide (Ni(OH)2),12054-48-7,,,H2NiO2,Active
178129,Nickelous hydroxide,Valid,Nickel hydroxide (Ni(OH)2),Nickel hydroxide (Ni(OH)2),12054-48-7,,,H2NiO2,Active
152686,Aqua fortis,Valid,Nitric acid,Nitric acid,7697-37-2,,,HNO3,Active
152686,Nitric acid,Valid,Nitric acid,Nitric acid,7697-37-2,,,HNO3,Active
153593,Lunar caustic,Valid,Nitric acid silver(1+) salt (1:1),Silver nitrate,7761-88-8,,,Ag.HNO3,Active
153593,Nitric acid silver(1+) salt,Valid,Nitric acid silver(1+) salt (1:1),Silver nitrate,7761-88-8,,,Ag.HNO3,Active
153593,Silver nitrate,Valid,Nitric acid silver(1+) salt (1:1),Silver nitrate,7761-88-8,,,Ag.HNO3,Active
189100,Beryllium nitrate,Valid,"Nitric acid, beryllium salt (2:1)",Beryllium nitrate (Be(NO3)2),13597-99-4,,,Be.2HNO3,Active
155473,Beryllium nitrate,Valid,"Nitric acid, beryllium salt, trihydrate",Beryllium nitrate trihydrate,7787-55-5,,,Be.3H2O.2HNO3,Active
113621,Copper nitrate,Valid,"Nitric acid, copper(2+) salt (2:1)",Cupric nitrate,3251-23-8,,,Cu.2HNO3,Active
113621,Cupric nitrate,Valid,"Nitric acid, copper(2+) salt (2:1)",Cupric nitrate,3251-23-8,,,Cu.2HNO3,Active
171215,Iron nitrate,Valid,"Nitric acid, iron(3+) salt (3:1)",Ferric nitrate,10421-48-4,,,Fe.3HNO3,Active
171215,Ferric nitrate,Valid,"Nitric acid, iron(3+) salt (3:1)",Ferric nitrate,10421-48-4,,,Fe.3HNO3,Active
167692,Lead nitrate,Valid,"Nitric acid, lead(2+) salt (2:1)",Lead nitrate (Pb(NO3)2),10099-74-8,,,HNO3.1/2Pb,Active
171124,Mercury protonitrate,Valid,"Nitric acid, mercury(1+) salt (1:1)",Mercurous nitrate,10415-75-5,,,HNO3.Hg,Active
171124,Mercurous nitrate,Valid,"Nitric acid, mercury(1+) salt (1:1)",Mercurous nitrate,10415-75-5,,,HNO3.Hg,Active
154419,Mercurous nitrate,Inaccurate,"Nitric acid, mercury(1+) salt, monohydrate","Mercurous nitrate, monohydrate",7782-86-7,,,H2O.HNO3.Hg,Active
167239,Mercuric nitrate,Valid,"Nitric acid, mercury(2+) salt (2:1)",Mercuric nitrate,10045-94-0,,,HNO3.1/2Hg,Active
167239,Mercury pernitrate,Valid,"Nitric acid, mercury(2+) salt (2:1)",Mercuric nitrate,10045-94-0,,,HNO3.1/2Hg,Active
167239,Mercury nitrate,Valid,"Nitric acid, mercury(2+) salt (2:1)",Mercuric nitrate,10045-94-0,,,HNO3.1/2Hg,Active
194043,Nickel nitrate,Valid,"Nitric acid, nickel salt",Nickel nitrate,14216-75-2,,,,Active
154195,Zinc nitrate,Valid,"Nitric acid, zinc salt (2:1)",Zinc nitrate,7779-88-6,,,HNO3.1/2Zn,Active
190447,Zirconium nitrate,Valid,"Nitric acid, zirconium(4+) salt (4:1)",Zirconium nitrate,13746-89-9,,,HNO3.1/4Zr,Active
172338,Nitrogen tetraoxide,Valid,Nitrogen oxide (N2O4),Nitrogen tetroxide,10544-72-6,,,N2O4,Active
167924,Nitrogen dioxide,Valid,Nitrogen oxide (NO2),Nitrogen dioxide,10102-44-0,,,NO2,
152058,Sodium nitrite,Valid,"Nitrous acid, sodium salt (1:1)",Sodium nitrite,7632-00-0,,,HNO2.Na,Active
149450,Lead stearate,Valid,"Octadecanoic acid, lead salt (1:?)",Lead stearate,7428-48-0,,,C18H36O2.xPb,Active
149450,"Stearic acid, lead salt",Valid,"Octadecanoic acid, lead salt (1:?)",Lead stearate,7428-48-0,,,C18H36O2.xPb,Active
77487,Lead stearate,Valid,"Octadecanoic acid, lead(2+) salt (2:1)",Lead(II) stearate,1072-35-1,,,C18H36O2.1/2Pb,Active
23945,Chloropropylene oxide,Valid,"Oxirane, 2-(chloromethyl)-",Epichlorohydrin,106-89-8,,,C3H5ClO,Active
23945,Epichlorohydrin,Valid,"Oxirane, 2-(chloromethyl)-",Epichlorohydrin,106-89-8,,,C3H5ClO,Active
5660,Propylene oxide,Valid,"Oxirane, 2-methyl-",Propylene oxide,75-56-9,,,C3H6O,Active
5660,Propene oxide,Valid,"Oxirane, 2-methyl-",Propylene oxide,75-56-9,,,C3H6O,Active
256545,Triformol,Trade Name,Paraformaldehyde,Paraformaldehyde,30525-89-4,,,(CH2O)x,Active
256545,Paraformaldehyde,Valid,Paraformaldehyde,Paraformaldehyde,30525-89-4,,,(CH2O)x,Active
256545,Formagene,Trade Name,Paraformaldehyde,Paraformaldehyde,30525-89-4,,,(CH2O)x,Active
256545,Paraform,Valid,Paraformaldehyde,Paraformaldehyde,30525-89-4,,,(CH2O)x,Active
256545,Polymerized formaldehyde,Valid,Paraformaldehyde,Paraformaldehyde,30525-89-4,,,(CH2O)x,Active
256545,Polyoxymethylene,Valid,Paraformaldehyde,Paraformaldehyde,30525-89-4,,,(CH2O)x,Active
63743,sec-Amyl acetate,Valid,"2-Pentanol, 2-acetate",sec-Amyl acetate,626-38-0,,,C7H14O2,Active
152975,Chameleon mineral,Valid,"Permanganic acid (HMnO4), potassium salt (1:1)",Potassium permanganate,7722-64-7,,,HMnO4.K,Active
152975,Potassium permanganate,Valid,"Permanganic acid (HMnO4), potassium salt (1:1)",Potassium permanganate,7722-64-7,,,HMnO4.K,Active
25510,Phenyl hydroxide,Valid,Phenol,Phenol,108-95-2,,,C6H6O,Active
25510,Phenol,Valid,Phenol,Phenol,108-95-2,,,C6H6O,Active
25510,Carbolic acid,Valid,Phenol,Phenol,108-95-2,,,C6H6O,Active
25510,Hydroxybenzene,Valid,Phenol,Phenol,108-95-2,,,C6H6O,Active
25510,Oxybenzene,Valid,Phenol,Phenol,108-95-2,,,C6H6O,Active
11437,Penta,Valid,"Phenol, 2,3,4,5,6-pentachloro-",Pentachlorophenol,87-86-5,,,C6HCl5O,Active
11437,Pentachlorophenol,Valid,"Phenol, 2,3,4,5,6-pentachloro-",Pentachlorophenol,87-86-5,,,C6HCl5O,Active
11437,PCP,Valid,"Phenol, 2,3,4,5,6-pentachloro-",Pentachlorophenol,87-86-5,,,C6HCl5O,Active
202390,"2,3,4-Trichlorophenol",Valid,"Phenol, 2,3,4-trichloro-","2,3,4-Trichlorophenol",15950-66-0,,,C5H5NOS.Na,Active
74526,"2,3,5-Trichlorophenol",Valid,"Phenol, 2,3,5-trichloro-","2,3,5-Trichlorophenol",933-78-8,,,C6H3Cl3O,Active
74518,"2,3,6-Trichlorophenol",Valid,"Phenol, 2,3,6-trichloro-","2,3,6-Trichlorophenol",933-75-5,,,C6H3Cl3O,Active
16519,"2,4,5-Trichlorophenol",Valid,"Phenol, 2,4,5-trichloro-","2,4,5-Trichlorophenol",95-95-4,,,C6H3Cl3O,Active
16519,Collunosol,Trade Name,"Phenol, 2,4,5-trichloro-","2,4,5-Trichlorophenol",95-95-4,,,C6H3Cl3O,Active
16519,Dowicide 2,Trade Name,"Phenol, 2,4,5-trichloro-","2,4,5-Trichlorophenol",95-95-4,,,C6H3Cl3O,Active
11536,Phenachlor,Trade Name,"Phenol, 2,4,6-trichloro-","2,4,6-Trichlorophenol",88-06-2,,,C6H3Cl3O,Active
11536,"2,4,6-Trichlorophenol",Valid,"Phenol, 2,4,6-trichloro-","2,4,6-Trichlorophenol",88-06-2,,,C6H3Cl3O,Active
11536,Dowicide 2S,Trade Name,"Phenol, 2,4,6-trichloro-","2,4,6-Trichlorophenol",88-06-2,,,C6H3Cl3O,Active
11536,Omal,Trade Name,"Phenol, 2,4,6-trichloro-","2,4,6-Trichlorophenol",88-06-2,,,C6H3Cl3O,Active
1313,Dinitrophenol,Ambiguous,"Phenol, 2,4-dinitro-","2,4-Dinitrophenol",51-28-5,,,C6H4N2O5,Active
1313,"2,4-Dinitrophenol",Valid,"Phenol, 2,4-dinitro-","2,4-Dinitrophenol",51-28-5,,,C6H4N2O5,Active
1313,Aldifen,Valid,"Phenol, 2,4-dinitro-","2,4-Dinitrophenol",51-28-5,,,C6H4N2O5,Active
42564,"2,5-Dinitrophenol",Valid,"Phenol, 2,5-dinitro-","2,5-Dinitrophenol",329-71-5,,,C6H4N2O5,Active
55020,"2,6-Dinitrophenol",Valid,"Phenol, 2,6-dinitro-","2,6-Dinitrophenol",573-56-8,,,C6H4N2O5,Active
16147,o-Cresol,Valid,"Phenol, 2-methyl-",o-Cresol,95-48-7,,,C7H8O,Active
12005,o-Nitrophenol,Valid,"Phenol, 2-nitro-",o-Nitrophenol,88-75-5,,,C6H5NO3,Active
59352,"3,4,5-Trichlorophenol",Valid,"Phenol, 3,4,5-trichloro-","3,4,5-Trichlorophenol",609-19-8,,,C6H3Cl3O,Active
95679,Mesurol,Trade Name,"Phenol, 3,5-dimethyl-4-(methylthio)-, methylcarbamate",Methiocarb,2032-65-7,,,C11H15NO2S,Active
95679,Mercaptodimethur,Valid,"Phenol, 3,5-dimethyl-4-(methylthio)-, methylcarbamate",Methiocarb,2032-65-7,,,C11H15NO2S,Active
25064,m-Cresol,Valid,"Phenol, 3-methyl-",m-Cresol,108-39-4,,,C7H8O,Active
53603,m-Nitrophenol,Valid,"Phenol, 3-nitro-",m-Nitrophenol,554-84-7,,,C6H5NO3,Active
42135,Zectran,Trade Name,"Phenol, 4-(dimethylamino)-3,5-dimethyl-, methylcarbamate (ester)",Mexacarbate,315-18-4,,,C12H18N2O2,Active
42135,Mexacarbate,Valid,"Phenol, 4-(dimethylamino)-3,5-dimethyl-, methylcarbamate (ester)",Mexacarbate,315-18-4,,,C12H18N2O2,Active
23606,p-Cresol,Valid,"Phenol, 4-methyl-",p-Cresol,106-44-5,,,C7H8O,Active
19117,p-Nitrophenol,Valid,"Phenol, 4-nitro-",p-Nitrophenol,100-02-7,,,C6H5NO3,Active
81836,Hydroxydimethylbenzene,Valid,"Phenol, dimethyl-",Dimethylphenol,1300-71-6,,,C8H10O,Active
81836,Xylenol,Valid,"Phenol, dimethyl-",Dimethylphenol,1300-71-6,,,C8H10O,Active
81836,Dimethylphenol,Valid,"Phenol, dimethyl-",Dimethylphenol,1300-71-6,,,C8H10O,Active
83550,Hydroxytoluene,Valid,"Phenol, methyl-",Cresol,1319-77-3,,,C7H8O,Active
83550,Cresol,Valid,"Phenol, methyl-",Cresol,1319-77-3,,,C7H8O,Active
83550,Cresylic acid,Valid,"Phenol, methyl-",Cresol,1319-77-3,,,C7H8O,Active
230334,Mononitrophenol,Valid,"Phenol, nitro-",Nitrophenol,25154-55-6,,,C6H5NO3,Active
230334,Nitrophenol (mixed),Valid,"Phenol, nitro-",Nitrophenol,25154-55-6,,,C6H5NO3,Active
230524,Trichlorophenol,Valid,"Phenol, trichloro-",Trichlorophenol,25167-82-2,,,C6H3Cl3O,Active
1586,Dylox,Trade Name,"Phosphonic acid, (2,2,2-trichloro-1-hydroxyethyl)-, dimethyl ester",Trichlorfon,52-68-6,,,C4H8Cl3O4P,Active
1586,Trichlorfon,Valid,"Phosphonic acid, (2,2,2-trichloro-1-hydroxyethyl)-, dimethyl ester",Trichlorfon,52-68-6,,,C4H8Cl3O4P,Active
1586,Dipterex,Trade Name,"Phosphonic acid, (2,2,2-trichloro-1-hydroxyethyl)-, dimethyl ester",Trichlorfon,52-68-6,,,C4H8Cl3O4P,Active
152363,Orthophosphoric acid,Valid,Phosphoric acid,Phosphoric acid,7664-38-2,,,H3O4P,Active
152363,Phosphoric acid,Valid,Phosphoric acid,Phosphoric acid,7664-38-2,,,H3O4P,Active
41426,Naled,Valid,"Phosphoric acid, 1,2-dibromo-2,2-dichloroethyl dimethyl ester",Naled,300-76-5,,,C4H7Br2Cl2O4P,Active
41426,Dibrom,Trade Name,"Phosphoric acid, 1,2-dibromo-2,2-dichloroethyl dimethyl ester",Naled,300-76-5,,,C4H7Br2Cl2O4P,Active
3681,Vapona,Trade Name,"Phosphoric acid, 2,2-dichloroethenyl dimethyl ester",Dichlorvos,62-73-7,,,C4H7Cl2O4P,Active
3681,Dichlorvos,Valid,"Phosphoric acid, 2,2-dichloroethenyl dimethyl ester",Dichlorvos,62-73-7,,,C4H7Cl2O4P,Active
3681,"2,2-Dichlorovinyl dimethyl phosphate",Valid,"Phosphoric acid, 2,2-dichloroethenyl dimethyl ester",Dichlorvos,62-73-7,,,C4H7Cl2O4P,Active
749085,"Sodium phosphate, dibasic",Valid,"Phosphoric acid, disodium salt, dihydrate",Disodium phosphate dihydrate,10028-24-7,,,H3O4P.2H2O.2Na,Active
166991,"Sodium phosphate, dibasic",Valid,"Phosphoric acid, disodium salt, dodecahydrate",Disodium phosphate dodecahydrate,10039-32-4,,,H3O4P.12H2O.2Na,Active
168740,"Sodium phosphate, dibasic",Valid,"Phosphoric acid, disodium salt, hydrate",Disodium phosphate hydrate,10140-65-5,,,H3O4P.xH2O.2Na,Active
151480,"Sodium phosphate, dibasic",Valid,"Phosphoric acid, sodium salt (1:2)",Disodium phosphate,7558-79-4,,,H3O4P.2Na,Active
151746,"Sodium phosphate, tribasic",Valid,"Phosphoric acid, sodium salt (1:3)",Trisodium phosphate,7601-54-9,,,H3O4P.3Na,Active
170688,"Sodium phosphate, tribasic",Valid,"Phosphoric acid, trisodium salt, decahydrate",Trisodium phosphate decahydrate,10361-89-4,,,H3O4P.10H2O.3Na,Active
167833,"Sodium phosphate, tribasic",Valid,"Phosphoric acid, trisodium salt, dodecahydrate",Trisodium phosphate dodecahydrate,10101-89-0,,,H3O4P.12H2O.3Na,Active
166488,Phosphorus oxychloride,Valid,Phosphoric trichloride,Phosphorus oxychloride,10025-87-3,,,Cl3OP,Active
166488,Phosphoryl chloride,Valid,Phosphoric trichloride,Phosphorus oxychloride,10025-87-3,,,Cl3OP,Active
166488,Phosphorus chloride,Inaccurate,Phosphoric trichloride,Phosphorus oxychloride,10025-87-3,,,Cl3OP,Active
41210,Di-syston,Trade Name,"Phosphorodithioic acid, O,O-diethyl S-[2-(ethylthio)ethyl] ester",Disulfoton,298-04-4,,,C8H19O2PS3,Active
41210,Disulfoton,Valid,"Phosphorodithioic acid, O,O-diethyl S-[2-(ethylthio)ethyl] ester",Disulfoton,298-04-4,,,C8H19O2PS3,Active
10777,Azinphos-methyl,Valid,"Phosphorodithioic acid, O,O-dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] ester",Azinphos-methyl,86-50-0,,,C10H12N3O3PS2,Active
10777,Gusathion,Trade Name,"Phosphorodithioic acid, O,O-dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] ester",Azinphos-methyl,86-50-0,,,C10H12N3O3PS2,Active
10777,Guthion,Trade Name,"Phosphorodithioic acid, O,O-dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] ester",Azinphos-methyl,86-50-0,,,C10H12N3O3PS2,Active
54577,Nialate,Trade Name,"Phosphorodithioic acid, S,S'-methylene O,O,O',O'-tetraethyl ester",Ethion,563-12-2,,,C9H22O4P2S4,Active
54577,Ethion,Valid,"Phosphorodithioic acid, S,S'-methylene O,O,O',O'-tetraethyl ester",Ethion,563-12-2,,,C9H22O4P2S4,Active
54577,Ethyl methylene phosphorodithioate,Valid,"Phosphorodithioic acid, S,S'-methylene O,O,O',O'-tetraethyl ester",Ethion,563-12-2,,,C9H22O4P2S4,Active
108852,Dursban,Trade Name,"Phosphorothioic acid, O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl) ester",Chlorpyrifos,2921-88-2,,,C9H11Cl3NO3PS,Active
108852,Chlorpyrifos,Valid,"Phosphorothioic acid, O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl) ester",Chlorpyrifos,2921-88-2,,,C9H11Cl3NO3PS,Active
2147,Niran,Trade Name,"Phosphorothioic acid, O,O-diethyl O-(4-nitrophenyl) ester",Parathion,56-38-2,,,C10H14NO5PS,Active
2147,Parathion,Valid,"Phosphorothioic acid, O,O-diethyl O-(4-nitrophenyl) ester",Parathion,56-38-2,,,C10H14NO5PS,Active
2147,DNTP,Valid,"Phosphorothioic acid, O,O-diethyl O-(4-nitrophenyl) ester",Parathion,56-38-2,,,C10H14NO5PS,Active
42705,Spectracide,Trade Name,"Phosphorothioic acid, O,O-diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester",Diazinon,333-41-5,,,C12H21N2O3PS,Active
42705,Diazitol,Trade Name,"Phosphorothioic acid, O,O-diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester",Diazinon,333-41-5,,,C12H21N2O3PS,Active
42705,Diazinon,Trade Name,"Phosphorothioic acid, O,O-diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester",Diazinon,333-41-5,,,C12H21N2O3PS,Active
42705,Basudin,Trade Name,"Phosphorothioic acid, O,O-diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester",Diazinon,333-41-5,,,C12H21N2O3PS,Active
42705,Dipofene,Trade Name,"Phosphorothioic acid, O,O-diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester",Diazinon,333-41-5,,,C12H21N2O3PS,Active
41194,Nitrox-80,Trade Name,"Phosphorothioic acid, O,O-dimethyl O-(4-nitrophenyl) ester",Methyl parathion,298-00-0,,,C8H10NO5PS,Active
41194,Methyl parathion,Valid,"Phosphorothioic acid, O,O-dimethyl O-(4-nitrophenyl) ester",Methyl parathion,298-00-0,,,C8H10NO5PS,Active
2246,Co-Ral,Trade Name,"Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Coumaphos,56-72-4,,,C14H16ClO5PS,Active
2246,Coumaphos,Valid,"Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Coumaphos,56-72-4,,,C14H16ClO5PS,Active
